Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C-RESCUE-I2CADC01A,C8,22nF,SMD-0805,1,
2,,C-RESCUE-I2CADC01A,C1C2C4C6C7,100nF,SMD-0805,5,
3,,C-RESCUE-I2CADC01A,C3C5,10uF,SMD-0805,2,
4,,DIODE,D2D3,BAT46,MiniMELF_Standard,2,
5,,REFERENCE,D4,LM4041-adj,SOT-23,1,
6,,DIODE,D1,M4,SMA_Standard,1,
7,,CONN_2,J3J8,CONN_2,Straight_2x01,2,
8,,CONN_3,J4,CONN_3,Straight_1x03,1,
9,,JUMP2_2x1,J5J6,JUMP2_2x1,Straight_2x01,2,
10,,JUMP_3X2,J1,JUMP_3X2,Straight_2x03,1,
11,,JUMP_5X2,J7,JUMP_5X2,Straight_2x05,1,
12,,INDUCTOR,L1,BLM21PG300SN1D,SMD-0805,1,
13,,_,P1P2,_,WAGO256,2,
14,,R-RESCUE-I2CADC01A,R6,0R,SMD-0805,1,
15,,R-RESCUE-I2CADC01A,R3,3K3,SMD-0805,1,
16,,R-RESCUE-I2CADC01A,R1R2R4R5,10k,SMD-0805,4,
17,,LTC2485,U1,LTC2485,DFN-10-1EP_3x3mm_Pitch0.5mm,1,
