Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",21.8440,16.2560,180.0000,bottom
"C2","100nF","SMD-0805",9.6520,16.2560,180.0000,bottom
"C3","10uF","SMD-0805",21.5900,24.1300,-90.0000,bottom
"C4","100nF","SMD-0805",19.0500,24.1300,-90.0000,bottom
"C5","10uF","SMD-0805",4.9530,17.9070,180.0000,bottom
"C6","100nF","SMD-0805",9.5250,23.6220,180.0000,bottom
"C7","100nF","SMD-0805",9.3980,10.1600,90.0000,bottom
"C8","22nF","SMD-0805",9.3980,26.5430,90.0000,bottom
"D1","M4","SMA_Standard",8.1280,20.5740,180.0000,bottom
"D2","BAT46","MiniMELF_Standard",15.7480,18.5420,180.0000,bottom
"D3","BAT46","MiniMELF_Standard",15.7480,21.3360,0.0000,bottom
"D4","LM4041-adj","SOT-23",7.4930,28.9560,90.0000,bottom
"J1","JUMP_3X2","Straight_2x03",5.0800,12.9540,0.0000,top
"J3","CONN_2","Straight_2x01",21.3360,21.0820,180.0000,top
"J4","CONN_3","Straight_1x03",3.8735,27.3050,0.0000,top
"J5","JUMP2_2x1","Straight_2x01",25.1460,26.9240,180.0000,top
"J6","JUMP2_2x1","Straight_2x01",25.1460,29.4640,180.0000,top
"J7","JUMP_5X2","Straight_2x05",15.2400,35.4965,-90.0000,top
"J8","CONN_2","Straight_2x01",21.3360,28.1940,90.0000,top
"L1","BLM21PG300SN1D","SMD-0805",3.0480,21.0820,90.0000,bottom
"M1","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
"M2","HOLE","MountingHole_3mm",25.4000,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",25.4000,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"P1","_","WAGO256",18.2880,7.8740,90.0000,top
"P2","_","WAGO256",13.2080,7.8740,90.0000,top
"R1","10k","SMD-0805",18.2880,15.2400,-90.0000,bottom
"R2","10k","SMD-0805",13.2080,15.2400,-90.0000,bottom
"R3","3K3","SMD-0805",6.6040,24.3840,-90.0000,bottom
"R4","10k","SMD-0805",16.7640,30.9880,180.0000,bottom
"R5","10k","SMD-0805",13.2715,30.9880,0.0000,bottom
"R6","0R","SMD-0805",9.6520,13.9700,0.0000,bottom
"U1","LTC2485","DFN-10-1EP_3x3mm_Pitch0.5mm",15.4305,26.1620,90.0000,bottom
