Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",21.8440,16.2560,180.0000,bottom
"C2","100nF","SMD-0805",9.6520,16.2560,180.0000,bottom
"C3","10uF","SMD-0805",21.5900,24.1300,-90.0000,bottom
"C4","100nF","SMD-0805",19.0500,24.1300,-90.0000,bottom
"C5","10uF","SMD-0805",4.9530,17.9070,180.0000,bottom
"C6","100nF","SMD-0805",9.5250,23.6220,180.0000,bottom
"C7","100nF","SMD-0805",9.3980,10.1600,90.0000,bottom
"C8","22nF","SMD-0805",9.3980,26.5430,90.0000,bottom
"D1","M4","SMA_Standard",8.1280,20.5740,180.0000,bottom
"D2","BAT46","MiniMELF_Standard",15.7480,18.5420,180.0000,bottom
"D3","BAT46","MiniMELF_Standard",15.7480,21.3360,0.0000,bottom
"D4","LM4041-adj","SOT-23",7.4930,28.9560,90.0000,bottom
"L1","BLM21PG300SN1D","SMD-0805",3.0480,21.0820,90.0000,bottom
"R1","10k","SMD-0805",18.2880,15.2400,-90.0000,bottom
"R2","10k","SMD-0805",13.2080,15.2400,-90.0000,bottom
"R3","3K3","SMD-0805",6.6040,24.3840,-90.0000,bottom
"R4","10k","SMD-0805",16.7640,30.9880,180.0000,bottom
"R5","10k","SMD-0805",13.2715,30.9880,0.0000,bottom
"R6","0R","SMD-0805",9.6520,13.9700,0.0000,bottom
"U1","LTC2485","DFN-10-1EP_3x3mm_Pitch0.5mm",15.4305,26.1620,90.0000,bottom
