Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","JUMP_3X2","Straight_2x03",5.0800,12.9540,0.0000,top
"J3","CONN_2","Straight_2x01",21.3360,21.0820,180.0000,top
"J4","CONN_3","Straight_1x03",3.8735,27.3050,0.0000,top
"J5","JUMP2_2x1","Straight_2x01",25.1460,26.9240,180.0000,top
"J6","JUMP2_2x1","Straight_2x01",25.1460,29.4640,180.0000,top
"J7","JUMP_5X2","Straight_2x05",15.2400,35.4965,-90.0000,top
"J8","CONN_2","Straight_2x01",21.3360,28.1940,90.0000,top
"M1","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
"M2","HOLE","MountingHole_3mm",25.4000,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",25.4000,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"P1","_","WAGO256",18.2880,7.8740,90.0000,top
"P2","_","WAGO256",13.2080,7.8740,90.0000,top
